zone_id,latitude,longitude
185,40.854405,-73.854394
186,40.748497,-73.992438
187,40.628166,-74.140789
188,40.658745,-73.947442
189,40.677635,-73.967587
190,40.661622,-73.968914
191,40.715454,-73.741532
192,40.743752,-73.815229
193,40.760313,-73.941997
194,40.791,-73.924597
195,40.675549,-74.009178
196,40.726155,-73.863338
197,40.694542,-73.830924
198,40.706527,-73.901709
199,40.791133,-73.882658
200,40.899528,-73.906988
201,40.577983,-73.843454
202,40.761899,-73.949953
203,40.657852,-73.739474
204,40.540333,-74.207826
205,40.691201,-73.763146
206,40.638973,-74.102314
207,40.763986,-73.899353
208,40.823318,-73.823539
209,40.709073,-74.003664
210,40.592024,-73.940507
211,40.723888,-74.001538
212,40.827902,-73.86968
213,40.817859,-73.858135
214,40.586786,-74.085512
215,40.694428,-73.790965
216,40.676154,-73.819459
217,40.703916,-73.958597
218,40.67209,-73.773036
219,40.662186,-73.764505
220,40.882403,-73.910665
221,40.618768,-74.073703
222,40.647527,-73.882413
223,40.777427,-73.905407
224,40.731821,-73.976598
225,40.688168,-73.931888
226,40.737698,-73.924673
227,40.641886,-74.004653
228,40.652354,-74.011273
229,40.756729,-73.965146
230,40.759818,-73.984197
231,40.717773,-74.00788
232,40.714732,-73.983025
233,40.749914,-73.970443
234,40.740337,-73.990458
235,40.852521,-73.915976
236,40.780436,-73.957012
237,40.768615,-73.965635
238,40.791705,-73.973049
239,40.783961,-73.978632
240,40.894599,-73.881977
241,40.876512,-73.89562
242,40.846783,-73.850671
243,40.857108,-73.932832
244,40.841708,-73.941399
245,40.630049,-74.10286
246,40.753309,-74.004016
247,40.828987,-73.92441
248,40.834165,-73.87229
249,40.734576,-74.002875
250,40.832101,-73.848641
251,40.61688,-74.125348
252,40.788193,-73.815657
253,40.760631,-73.841244
254,40.882157,-73.858949
255,40.718804,-73.957418
256,40.71088,-73.959905
257,40.653612,-73.977982
258,40.688721,-73.855767
259,40.897932,-73.852215
260,40.744234,-73.906307
261,40.709139,-74.013023
262,40.775932,-73.94651
263,40.778766,-73.95101
